time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-25T22:51:40.235Z,-55.6393,-26.6559,10.13,4.9,mb,,104,5.825,0.67,us,us7000f3xc,2021-08-25T23:08:50.040Z,"South Sandwich Islands region",earthquake,11.5,5.8,0.093,36,reviewed,us,us
2021-08-25T21:31:03.748Z,60.0489,-140.112,0,2.5,ml,,,,1.26,ak,ak021awb208g,2021-08-25T22:24:56.040Z,"59 km NNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-08-25T21:26:34.440Z,-57.1898,-25.4046,7.64,5.4,mb,,56,6.901,0.91,us,us7000f3ws,2021-08-26T21:30:11.901Z,"South Sandwich Islands region",earthquake,8.2,3.3,0.065,81,reviewed,us,us
2021-08-25T21:05:01.260Z,34.0785,-119.547,5.95,2.62,ml,67,114,0.2882,0.36,ci,ci40022048,2021-08-26T02:08:54.172Z,"6km NNW of Santa Cruz Is. (E end), CA",earthquake,0.38,31.61,0.19,25,reviewed,ci,ci
2021-08-25T21:04:19.929Z,15.4621,-88.3641,8.88,5.2,mww,,85,1.75,0.92,us,us7000f3w2,2021-08-26T20:30:07.620Z,"9 km NNE of Pinalejo, Honduras",earthquake,5.4,4,0.044,49,reviewed,us,us
2021-08-25T20:31:04.850Z,19.1738333333333,-155.4715,35.34,3.08,ml,53,84,,0.1,hv,hv72670747,2021-08-26T03:23:21.610Z,"3 km SSE of P?hala, Hawaii",earthquake,0.41,0.57,0.198770251769424,36,reviewed,hv,hv
2021-08-25T20:20:11.617Z,-38.0276,-75.3656,10,4.3,mb,,156,2.152,0.47,us,us7000f3vm,2021-08-25T20:46:18.040Z,"157 km WSW of Lebu, Chile",earthquake,4.6,1.9,0.308,3,reviewed,us,us
2021-08-25T20:01:08.770Z,37.9080009,-118.5469971,8.47,2.82,md,35,87,0.236,0.07,nc,nc73615376,2021-08-26T02:46:26.164Z,"40km NNE of Toms Place, CA",earthquake,0.21,1.67,0.16,34,automatic,nc,nc
2021-08-25T19:52:16.940Z,37.9096667,-118.5495,6.71,2.85,md,42,64,0.194,0.08,nc,nc73615366,2021-08-26T02:46:10.376Z,"40km NNE of Toms Place, CA",earthquake,0.18,1.58,0.128,46,reviewed,nc,nc
2021-08-25T19:39:48.259Z,55.7747,-154.1805,20.1,3,ml,,,,0.99,ak,ak021aw9wy6h,2021-08-25T19:59:08.951Z,"130 km S of Akhiok, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-08-25T19:31:45.856Z,-59.3837,-25.7884,48.33,5,mb,,70,7.777,0.64,us,us7000f3v4,2021-08-25T20:20:06.040Z,"South Sandwich Islands region",earthquake,7,5.5,0.092,39,reviewed,us,us
2021-08-25T19:25:27.590Z,19.6361666666667,-155.294333333333,19.34,2.79,ml,54,114,,0.12,hv,hv72670672,2021-08-26T02:17:51.174Z,"21 km WNW of Mountain View, Hawaii",earthquake,0.37,0.93,0.208209379805189,36,reviewed,hv,hv
2021-08-25T19:12:02.203Z,-31.3418,179.9258,419.29,4.2,mb,,167,6.347,0.86,us,us7000f3v3,2021-08-25T20:40:21.040Z,"Kermadec Islands region",earthquake,15.7,10.3,0.115,21,reviewed,us,us
2021-08-25T16:30:21.580Z,60.5531,-43.3615,10,4.5,mb,,77,1.176,0.74,us,us7000f3ts,2021-08-26T01:29:55.205Z,"113 km ENE of Nanortalik, Greenland",earthquake,6.6,1.8,0.039,190,reviewed,us,us
2021-08-25T16:06:33.070Z,38.5368333,-119.4836667,6.46,2.88,md,25,69,0.0317,0.06,nc,nc73615276,2021-08-26T23:10:12.040Z,"30km SSW of Smith Valley, NV",earthquake,0.15,0.23,0.196,69,reviewed,nc,nc
2021-08-25T15:50:13.300Z,19.3963333333333,-155.279333333333,0.2,2.55,ml,10,66,,0.05,hv,hv72670252,2021-08-25T20:59:22.040Z,"7 km SW of Volcano, Hawaii",earthquake,0.16,0.34,0.248836055160484,13,reviewed,hv,hv
2021-08-25T14:08:17.716Z,57.971,-152.2289,28.1,2.7,ml,,,,0.78,ak,ak021aw6r2ks,2021-08-25T14:52:09.133Z,"17 km ENE of Ouzinkie, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-08-25T12:51:24.924Z,42.8928,105.8486,10,4.4,mb,,111,4.957,0.58,us,us7000f3ls,2021-08-26T07:21:53.286Z,"138 km ESE of Dalandzadgad, Mongolia",earthquake,6.9,1.8,0.101,29,reviewed,us,us
2021-08-25T12:03:16.513Z,7.055,122.896,34.93,4.7,mb,,62,2.663,0.99,us,us7000f3ld,2021-08-26T10:14:57.197Z,"28 km S of Olutanga, Philippines",earthquake,7.4,5.4,0.065,72,reviewed,us,us
2021-08-25T11:06:53.890Z,19.4031658172607,-155.288833618164,1.37000000476837,2.59,ml,9,88,,0.119999997,hv,hv72669567,2021-08-25T11:12:24.040Z,"7 km SW of Volcano, Hawaii",earthquake,0.37,0.75999999,0.43,12,automatic,hv,hv
2021-08-25T10:51:34.162Z,18.478,-73.5689,9.1,4.2,mb,,64,1.8,0.71,us,us7000f3kw,2021-08-25T11:15:16.040Z,"7 km E of Baradères, Haiti",earthquake,4.4,5.7,0.092,33,reviewed,us,us
2021-08-25T10:43:16.898Z,-58.6217,-25.1201,62.54,4.8,mb,,95,7.649,0.58,us,us7000f3kt,2021-08-25T11:04:38.040Z,"South Sandwich Islands region",earthquake,10.7,8.9,0.086,41,reviewed,us,us
2021-08-25T10:18:16.986Z,29.6635,141.4474,35,5.3,mww,,42,2.639,1.02,us,us7000f3kl,2021-08-25T13:12:32.040Z,"Izu Islands, Japan region",earthquake,6.8,1.9,0.08,15,reviewed,us,us
2021-08-25T10:15:42.478Z,52.0368,178.2907,123.33,4.6,mb,,96,0.191,0.78,us,us7000f3ki,2021-08-25T17:07:32.817Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,9.5,7.5,0.029,358,reviewed,us,us
